_id,ask,askhigh,asklow,balance,bank,basis,bid,bidhigh,bidlow,category,chart_mode,company,currency_base,currency_margin,currency_profit,custom,description,digits,equity,exchange,expiration_mode,expiration_time,filling_mode,formula,isin,last,lasthigh,lastlow,login,margin_hedged,margin_hedged_use_leg,margin_initial,margin_maintenance,name,option_mode,option_right,option_strike,order_gtc_mode,order_mode,page,path,point,price_change,price_greeks_delta,price_greeks_gamma,price_greeks_omega,price_greeks_rho,price_greeks_theta,price_greeks_vega,price_sensitivity,price_theoretical,price_volatility,select,server,session_aw,session_buy_orders,session_buy_orders_volume,session_close,session_deals,session_interest,session_open,session_price_limit_max,session_price_limit_min,session_price_settlement,session_sell_orders,session_sell_orders_volume,session_turnover,session_volume,spread,spread_float,start_time,swap_long,swap_mode,swap_rollover3days,swap_short,ticks_bookdepth,time,trade_accrued_interest,trade_calc_mode,trade_contract_size,trade_exemode,trade_face_value,trade_freeze_level,trade_liquidity_rate,trade_mode,trade_stops_level,trade_tick_size,trade_tick_value,trade_tick_value_loss,trade_tick_value_profit,visible,volume,volume_limit,volume_max,volume_min,volume_real,volume_step,volumehigh,volumehigh_real,volumelow,volumelow_real
6423c78ce9948d26a00a3c3e,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Manitowoc,3,,,15,0,2,,US5635714059,0,0,0,,0,false,0,0,MTW.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\MTW.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c3f,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Cadence Bancorp,3,,,15,0,2,,US12739A1007,0,0,0,,0,false,0,0,CADE.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\CADE.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c40,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Azul SA ADR,3,,,15,0,2,,US05501U1060,0,0,0,,0,false,0,0,AZUL.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\AZUL.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c41,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,TRI Pointe Homes Inc,3,,,15,0,2,,US87265H1095,0,0,0,,0,false,0,0,TPH.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\TPH.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c42,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Rite Aid Corp,3,,,15,0,2,,US7677548726,0,0,0,,0,false,0,0,RAD.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\RAD.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c43,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Pure Storage Inc,3,,,15,0,2,,US74624M1027,0,0,0,,0,false,0,0,PSTG.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\PSTG.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c44,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Park Hotels and Resorts Inc,3,,,15,0,2,,US7005171050,0,0,0,,0,false,0,0,PK.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\PK.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c45,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,IMAX Corp (US),3,,,15,0,2,,,0,0,0,,0,false,0,0,IMAX.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\IMAX.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c46,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Fluor Corporation,3,,,15,0,2,,US3434121022,0,0,0,,0,false,0,0,FLR.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\FLR.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
6423c78ce9948d26a00a3c47,0,0,0,,,,0,0,0,,0,,USD,USD,USD,false,Outfront Media Inc,3,,,15,0,2,,US69007J1060,0,0,0,,0,false,0,0,OUT.NYSE,0,0,0,0,127,,"Stock CFD's\NYSE\OUT.NYSE",0.001,0,0,0,0,0,0,0,0,0,0,false,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,-2.59,5,3,-2.41,0,0,0,2,1,2,0,0,0,4,0,0.001,0.001,0.001,0.001,false,0,1000,1000,0.1,0,0.1,0,0,0,0
